Prompt Type,Run,Has Run Data,Run Directory Exists,Workflow Completed,MaBoSS Simulation Successful,Wall Time (s),Wall Time (min),MCP Tool Calls,Unique MCP Tools,User Interventions,Nodes,Edges,Network Seed Nodes,Network Seed Count,MaBoSS Initial-State Nodes,Initial-State Node Count,Chosen Output Nodes,Output Node Count,Seed/Output Overlap Count,Seed/Output Overlap Nodes,Initial-State/Output Overlap Count,Initial-State/Output Overlap Nodes,Top MaBoSS State,Top State Probability,Artifacts Present,Tool Call Breakdown
General prompt,run_1,True,True,Yes,Yes,313.816,5.230266666666666,19,16,0,89,698,"TNF, TNFRSF1A, TNFRSF1B, TRADD, FADD, RIPK1, RIPK3, CASP8, CASP3, CFLAR, NFKB1, RELA, IKBKB, BCL2, BAX, MAPK8, AKT1, MTOR, CCND1, MYC",20,TNF,1,"CASP3, CASP8, BAX, BCL2, CCND1, MYC, AKT1, MTOR",8,8,"AKT1, BAX, BCL2, CASP3, CASP8, CCND1, MTOR, MYC",0,N/A,AKT1 -- MTOR,1.0,"chat.json, Network_1.bnet, output.bnd, output.cfg, result.csv, session_meta.json","mcp_maboss_bnet_to_bnd_and_cfg:1, mcp_maboss_build_simulation:1, mcp_maboss_get_maboss_initial_state:1, mcp_maboss_get_maboss_nodes:2, mcp_maboss_get_simulation_result:2, mcp_maboss_run_simulation:2, mcp_maboss_set_default_session:1, mcp_maboss_set_maboss_initial_state:1, mcp_maboss_set_maboss_output_nodes:1, mcp_maboss_update_maboss_parameters:1, mcp_neko_create_network:1, mcp_neko_create_session:1, mcp_neko_export_network:1, mcp_neko_remove_bimodal_interactions:1, mcp_neko_remove_undefined_interactions:1, mcp_neko_set_default_session:1"
General prompt,run_2,True,True,Yes,Yes,211.149,3.5191500000000002,15,14,0,91,728,"TNF, TNFRSF1A, TNFRSF1B, TRADD, TRAF2, RIPK1, FADD, CASP8, CASP3, BAX, BCL2, NFKB1, RELA, IKBKB, IKBKG, IKBIA, MAPK1, MAPK8, JUN, FOS, MYC, CCND1",22,N/A,0,"CASP3, CASP8, BAX, BCL2, NFKB1, RELA, MYC, CCND1",8,8,"BAX, BCL2, CASP3, CASP8, CCND1, MYC, NFKB1, RELA",0,N/A,<nil>,0.5,"chat.json, Network_1.bnet, output.bnd, output.cfg, result.csv, session_meta.json","mcp_maboss_bnet_to_bnd_and_cfg:1, mcp_maboss_build_simulation:1, mcp_maboss_get_maboss_nodes:1, mcp_maboss_get_simulation_result:1, mcp_maboss_run_simulation:1, mcp_maboss_set_maboss_output_nodes:1, mcp_maboss_update_maboss_parameters:2, mcp_neko_check_disconnected_nodes:1, mcp_neko_create_network:1, mcp_neko_create_session:1, mcp_neko_export_network:1, mcp_neko_remove_bimodal_interactions:1, mcp_neko_remove_undefined_interactions:1, mcp_neko_set_default_session:1"
General prompt,run_3,True,True,Yes,Yes,197.566,3.2927666666666666,15,15,0,45,253,"TNF, TNFRSF1A, TNFRSF1B, TRADD, FADD, CASP8, CASP3, BAX, BCL2, NFKB1, RELA, CCND1, MYC",13,N/A,0,"CASP3, CASP7, CASP8, BAX, BAD, CCND1, MYC, TERT, RELA, NFKB1",10,7,"BAX, CASP3, CASP8, CCND1, MYC, NFKB1, RELA",0,N/A,RELA -- TERT -- CCND1,0.5681,"chat.json, Network_1.bnet, output.bnd, output.cfg, result.csv, session_meta.json","mcp_maboss_bnet_to_bnd_and_cfg:1, mcp_maboss_build_simulation:1, mcp_maboss_get_maboss_nodes:1, mcp_maboss_get_simulation_result:1, mcp_maboss_run_simulation:1, mcp_maboss_set_default_session:1, mcp_maboss_set_maboss_output_nodes:1, mcp_maboss_update_maboss_parameters:1, mcp_neko_check_disconnected_nodes:1, mcp_neko_create_network:1, mcp_neko_create_session:1, mcp_neko_export_network:1, mcp_neko_remove_bimodal_interactions:1, mcp_neko_remove_undefined_interactions:1, mcp_neko_set_default_session:1"
Specific prompt,run_1,True,True,Yes,Yes,148.821,2.48035,16,16,0,30,159,"TNF, TNFRSF1A, TRADD, RIPK1, CASP3, NFKB1, BAX, BCL2",8,N/A,0,"CASP3, BAX, NFKB1",3,3,"BAX, CASP3, NFKB1",0,N/A,NFKB1,0.9999,"chat.json, Network_1.bnet, output.bnd, output.cfg, result.csv, session_meta.json","mcp_maboss_bnet_to_bnd_and_cfg:1, mcp_maboss_build_simulation:1, mcp_maboss_get_maboss_nodes:1, mcp_maboss_get_simulation_result:1, mcp_maboss_run_simulation:1, mcp_maboss_set_maboss_output_nodes:1, mcp_maboss_update_maboss_parameters:1, mcp_neko_check_disconnected_nodes:1, mcp_neko_create_network:1, mcp_neko_create_session:1, mcp_neko_export_network:1, mcp_neko_list_artifact_sessions:1, mcp_neko_list_bnet_files:1, mcp_neko_remove_bimodal_interactions:1, mcp_neko_remove_undefined_interactions:1, mcp_neko_set_default_session:1"
Specific prompt,run_2,True,True,Yes,Yes,97.932,1.6322,13,13,0,30,159,"TNF, TNFRSF1A, TRADD, RIPK1, CASP3, NFKB1, BAX, BCL2",8,N/A,0,"CASP3, BAX, NFKB1",3,3,"BAX, CASP3, NFKB1",0,N/A,NFKB1,0.9999,"chat.json, Network_1.bnet, output.bnd, output.cfg, result.csv, session_meta.json","mcp_maboss_bnet_to_bnd_and_cfg:1, mcp_maboss_build_simulation:1, mcp_maboss_get_maboss_nodes:1, mcp_maboss_get_simulation_result:1, mcp_maboss_run_simulation:1, mcp_maboss_set_maboss_output_nodes:1, mcp_maboss_update_maboss_parameters:1, mcp_neko_check_disconnected_nodes:1, mcp_neko_create_network:1, mcp_neko_create_session:1, mcp_neko_export_network:1, mcp_neko_remove_bimodal_interactions:1, mcp_neko_set_default_session:1"
Specific prompt,run_3,True,True,Yes,Yes,97.114,1.6185666666666667,12,12,0,30,159,"TNF, TNFRSF1A, TRADD, RIPK1, CASP3, NFKB1, BAX, BCL2",8,N/A,0,"CASP3, BAX, NFKB1",3,3,"BAX, CASP3, NFKB1",0,N/A,NFKB1,0.9999,"chat.json, Network_1.bnet, output.bnd, output.cfg, result.csv, session_meta.json","mcp_maboss_bnet_to_bnd_and_cfg:1, mcp_maboss_build_simulation:1, mcp_maboss_get_maboss_nodes:1, mcp_maboss_get_simulation_result:1, mcp_maboss_run_simulation:1, mcp_maboss_set_maboss_output_nodes:1, mcp_maboss_update_maboss_parameters:1, mcp_neko_create_network:1, mcp_neko_create_session:1, mcp_neko_export_network:1, mcp_neko_remove_bimodal_interactions:1, mcp_neko_set_default_session:1"
